"year","fl_reg","month","RS_catch","RS_harvest","RS_Discard","RS_weight"
"2012","2","12",0,0,0,0
"2012","2","2",0,0,0,0
"2012","2","3",0,0,0,0
"2012","2","4",0,0,0,0
"2012","2","5",0,0,0,0
"2012","2","6",13313.7714865727,12127.0787173127,1186.69276926,32946.295432326
"2012","2","7",18832.1786186281,4487.24392705007,14344.934691578,10013.9258996244
"2012","2","8",1028.17418242087,1028.17418242087,0,4328.61330789921
"2012","2","9",0,0,0,0
"2013","1","1",911.0936037992,0,911.0936037992,0
"2013","1","10",2264915.01598357,675946.261229848,1588968.75475181,1780864.20406934
"2013","1","11",1256.9063316,0,1256.9063316,0
"2013","1","12",7370.1948236,0,7370.1948236,0
"2013","1","2",52519.724871571,0,52519.724871571,0
"2013","1","3",52877.64779102,0,52877.64779102,0
"2013","1","4",59999.1604459,0,59999.1604459,0
"2013","1","5",159978.76957695,0,159978.76957695,0
"2013","1","6",1815949.38600629,694831.71431626,1121117.67169564,1815326.37403179
"2013","1","7",19956.929282336,652.77389781,19304.155384526,2571.9291573714
"2013","1","8",103007.482938385,0,103007.482938385,0
"2013","1","9",132666.37852781,0,132666.37852781,0
"2013","2","1",0,0,0,0
"2013","2","10",1096.61543838021,486.605992778089,610.009445597,1357.25977912817
"2013","2","11",0,0,0,0
"2013","2","12",805.37778231,0,805.37778231,0
"2013","2","2",0,0,0,0
"2013","2","3",0,0,0,0
"2013","2","4",0,0,0,0
"2013","2","5",6591.70031495,0,6591.70031495,0
"2013","2","6",11238.6070310839,908.493676783912,10330.1133543,4578.80813112216
"2013","2","7",3784.35403778,2665.535766,1118.81827178,9702.55018824
"2013","2","8",256.126673646,0,256.126673646,0
"2013","2","9",0,0,0,0
"2014","1","1",0,0,0,0
"2014","1","10",240580.653758131,1435.03193981037,239145.621818321,2831.7963612379
"2014","1","11",416853.241657412,0,416853.241657412,0
"2014","1","12",1315.7703638,0,1315.7703638,0
"2014","1","2",4313.668866,0,4313.668866,0
"2014","1","3",4557.536588659,0,4557.536588659,0
"2014","1","4",97519.5673284455,3764.42360722953,93755.143721216,4153.41404668558
"2014","1","5",394798.778678061,130492.646564898,264306.132113895,380847.252616475
"2014","1","6",714885.16458122,306516.016757062,408369.147824104,878310.196301545
"2014","1","7",358595.177644486,105673.601721555,252921.575922912,220197.581053155
"2014","1","8",271575.438151588,0,271575.438151588,0
"2014","1","9",13196.8599639,0,13196.8599639,0
"2014","2","1",0,0,0,0
"2014","2","10",0,0,0,0
"2014","2","11",0,0,0,0
"2014","2","12",0,0,0,0
"2014","2","2",0,0,0,0
"2014","2","3",0,0,0,0
"2014","2","4",0,0,0,0
"2014","2","5",4971.94175884,0,4971.94175884,0
"2014","2","6",55477.9610534691,8806.35267259653,46671.608380794,26207.981753018
"2014","2","7",2849.5874248,0,2849.5874248,0
"2014","2","8",2453.00828457,0,2453.00828457,0
"2014","2","9",0,0,0,0
"2015","1","1",5025.169414273,0,5025.169414273,0
"2015","1","10",146945.69644596,32532.9095298371,114412.786916123,65575.7371976929
"2015","1","11",204.379973698,0,204.379973698,0
"2015","1","12",5388.8356668,0,5388.8356668,0
"2015","1","2",285898.44281927,0,285898.44281927,0
"2015","1","3",49434.028833064,326.24537779,49107.783455274,580.7167724662
"2015","1","4",104667.071591686,0,104667.071591686,0
"2015","1","5",193832.420930154,69911.7965092206,123920.624420933,182842.700954515
"2015","1","6",356884.221849889,242755.76432175,114128.457527694,715172.644065288
"2015","1","7",392714.668840291,111829.825410728,280884.843427024,194143.349917203
"2015","1","8",110669.793751193,362.43850203,110307.355249163,471.170052639
"2015","1","9",335079.498787046,114785.199658798,220294.299128248,228697.112851307
"2015","2","1",0,0,0,0
"2015","2","10",13306.233608,0,13306.233608,0
"2015","2","11",189.033766425,0,189.033766425,0
"2015","2","12",0,0,0,0
"2015","2","2",0,0,0,0
"2015","2","3",0,0,0,0
"2015","2","4",0,0,0,0
"2015","2","5",594.71979008,0,594.71979008,0
"2015","2","6",24960.0424417435,9745.25838200243,15214.784059792,28170.1103509063
"2015","2","7",6997.748789894,174.312904876,6823.435885018,339.9101645082
"2015","2","8",596.19613376,0,596.19613376,0
"2015","2","9",2219.99805316,0,2219.99805316,0
"2016","1","1",84131.05855303,0,84131.05855303,0
"2016","1","10",165162.053666892,48386.4301929752,116775.623474147,108307.035054812
"2016","1","11",351559.98832081,62638.8299184101,288921.1584024,97025.2873811318
"2016","1","12",5662.727091651,0,5662.727091651,0
"2016","1","2",386806.319101528,0,386806.319101528,0
"2016","1","3",32088.924975039,0,32088.924975039,0
"2016","1","4",179208.902882328,0,179208.902882328,0
"2016","1","5",689771.191372899,222021.303343898,467749.888027654,542817.62423056
"2016","1","6",628564.338076023,220358.656287786,408205.681787145,638664.965587414
