"year","fl_reg","month","RG_catch","RG_harvest","RG_Discard","RG_weight"
"2009","1","6",12283.2054282324,3524.42659527637,8758.778832956,10505.9493948381
"2009","1","7",92232.4346725825,11098.9754917545,81133.459180828,60389.0308986948
"2009","1","8",106765.758137573,42063.9006628215,64701.857474752,144267.94097136
"2009","1","9",28950.1797220556,6810.41612579165,22139.763596264,21252.3408372417
"2009","2","1",966873.234745574,7661.53920864,959211.695536934,12765.0369824328
"2009","2","10",518701.571795443,11837.3956771332,506864.17611799,29777.0327083058
"2009","2","11",374227.573367731,10575.9112400882,363651.662127625,25268.8019797061
"2009","2","12",599652.696319424,6666.63753377489,592986.058785649,24903.1721410392
"2009","2","2",230335.944908798,0,230335.944908798,0
"2009","2","3",108603.804328636,726.008198456178,107877.79613018,2003.01531486937
"2009","2","4",225388.357926569,8321.88439365584,217066.47353298,28736.8704845057
"2009","2","5",989817.832121414,18865.9173802398,970951.9147411,58050.3831668375
"2009","2","6",607879.835083539,13558.9615883893,594320.87349515,51555.9945168404
"2009","2","7",326643.043996591,29535.386088659,297107.65790826,116615.966741107
"2009","2","8",322606.783253521,8954.22924677323,313652.55400655,38216.3630863869
"2009","2","9",239840.58104733,6530.52204181969,233310.05900551,28674.0727773479
"2010","1","1",0,0,0,0
"2010","1","10",214108.12176825,33534.4115666126,180573.71020205,86106.7104776778
"2010","1","11",78320.899850585,49243.988897785,29076.9109528,117711.445759334
"2010","1","12",0,0,0,0
"2010","1","2",6381.7259216,0,6381.7259216,0
"2010","1","3",2623.179082537,0,2623.179082537,0
"2010","1","4",33959.2641516296,13829.7784624636,20129.485689166,74805.7967840109
"2010","1","5",15267.1719811066,1098.95550585557,14168.216475251,2927.99829716079
"2010","1","6",145037.114539503,21091.1525458506,123945.961993653,67066.4180237166
"2010","1","7",25883.5066055858,1790.38566542784,24093.120940158,4123.86089072014
"2010","1","8",4443.94646203813,4287.45865344514,156.487808593,9157.41317793672
"2010","1","9",9276.16940212282,7770.78851103082,1505.380891092,22912.8664303173
"2010","2","1",26627.2389505876,2106.56758999263,24520.671360595,6364.5404191167
"2010","2","10",581914.762794023,30505.7035269728,551409.05926828,78073.8466923174
"2010","2","11",1933178.34152895,56668.125157635,1876510.21637129,145578.279183505
"2010","2","12",217522.738217211,1275.08525130616,216247.652965857,2760.69201951772
"2010","2","2",21979.8671871,0,21979.8671871,0
"2010","2","3",13733.018828998,0,13733.018828998,0
"2010","2","4",430921.134269233,5388.5979301713,425532.536339062,14031.4333871508
"2010","2","5",557378.13084243,23193.8657082518,534184.2651329,58850.3803317389
"2010","2","6",356979.289618055,29281.0893040547,327698.20031439,70566.4241173684
"2010","2","7",445831.529519985,10469.0608748619,435362.46864516,25224.7192083782
"2010","2","8",104566.38677273,18784.6613574796,85781.725415,65834.2137454162
"2010","2","9",600446.656592212,15833.0247683697,584613.631823827,49286.5828369076
"2011","1","1",11771.3762599932,1712.22893959321,10059.1473204,4812.28697975695
"2011","1","10",34200.1701400635,16460.7272064935,17739.44293357,32252.9066083873
"2011","1","11",426.212753134241,212.155124413241,214.057628721,579.685592789496
"2011","1","12",466.413233934583,457.840817440283,8.5724164943,1141.17696650298
"2011","1","2",0,0,0,0
"2011","1","3",1893.089869105,0,1893.089869105,0
"2011","1","4",65600.9957434828,4256.13702088376,61344.858722599,12209.8785954004
"2011","1","5",73322.9707171047,12722.6932131817,60600.277503923,28709.2679901835
"2011","1","6",140849.797735426,23096.4500935656,117753.34764186,56680.7131281141
"2011","1","7",68269.4742350978,18397.0388619288,49872.435373169,46586.3202531101
"2011","1","8",9192.62410768812,8087.19552875112,1105.428578937,25304.6940700754
"2011","1","9",60118.6649059892,13121.3141243612,46997.350781628,38596.8628206918
"2011","2","1",433603.756188485,1833.45211056826,431770.304078247,3792.57794145119
"2011","2","10",259753.778006049,6337.1436476537,253416.634358334,14048.1918133247
"2011","2","11",992132.12512725,42094.6368166,950037.48831065,94851.601100354
"2011","2","12",258959.040855249,8081.27179631994,250877.769058934,20903.2587103576
"2011","2","2",25198.080386336,0,25198.080386336,0
"2011","2","3",558829.612234984,0,558829.612234984,0
"2011","2","4",1007451.68791826,19292.2400303039,988159.447890214,50413.348449181
"2011","2","5",690400.08462352,18394.9529783237,672005.13164527,52679.3069487837
"2011","2","6",217964.098335167,9571.04153051367,208393.056804639,22154.3234017168
"2011","2","7",691568.364032614,35718.8735240274,655849.490509543,89333.6048977412
"2011","2","8",253008.281639055,18414.7387507967,234593.54288904,51276.5795168274
"2011","2","9",692688.922380146,17255.0369877033,675433.88539239,42442.9519930269
"2012","1","1",9779.74830801614,22.8273489770359,9756.9209590391,92.7604259441858
"2012","1","10",756.961617276329,756.961617276329,0,2030.48544611378
"2012","1","11",335.763015980152,155.537862439153,180.225153541,424.216810072899
"2012","1","12",4824.8870592,4824.8870592,0,15729.131812992
"2012","1","2",0,0,0,0
"2012","1","3",8983.4254175678,10.3700002968026,8973.055417271,32.9766009438934
"2012","1","4",15108.5258571704,15064.0602485374,44.465608633,38004.7394538084
"2012","1","5",45222.9844658732,25052.9437740132,20170.04069186,69425.9018167187
"2012","1","6",160792.090920019,53718.5142556689,107073.57666435,191501.686513256
"2012","1","7",15233.8447780514,6577.16949860541,8656.675279446,22035.8036492334
"2012","1","8",11548.7230119596,9898.12078281356,1650.602229146,28585.398099413
"2012","1","9",9396.89613485651,4367.46423720751,5029.431897649,18875.9460932771
"2012","2","1",513102.544807647,26660.4192406052,486442.125567552,64131.0585315468
"2012","2","10",534587.933774359,28099.1230377269,506488.810736615,80678.6902597078
"2012","2","11",207530.556986068,10474.6245596931,197055.932426486,27776.3234311613
"2012","2","12",626270.608091783,109850.127565371,516420.480526412,235192.457025006
"2012","2","2",605287.761728475,0,605287.761728475,0
"2012","2","3",80118.34979173,3177.25101492,76941.09877681,7884.7195470776
"2012","2","4",555355.106725767,117754.6758312,437600.430894567,298691.751077074
"2012","2","5",785883.627156791,125832.634619161,660050.99253888,485356.651964154
"2012","2","6",367351.780180025,20296.4426877596,347055.33749123,56665.8322890505
"2012","2","7",440163.907968812,32027.3649632774,408136.543005575,74606.8444190388
"2012","2","8",199903.016208604,55639.4299893753,144263.586219041,168380.520839454
"2012","2","9",241031.661028404,31629.4693554749,209402.191673165,72416.5980449995
"2013","1","1",0,0,0,0
"2013","1","10",1596.29427608768,888.698480407679,707.59579568,3041.4891760601
"2013","1","11",0,0,0,0
"2013","1","12",0,0,0,0
"2013","1","2",0,0,0,0
"2013","1","3",1431.0226019,0,1431.0226019,0
"2013","1","4",0,0,0,0
"2013","1","5",3926.12452795756,3926.12452795756,0,7649.14661326749
"2013","1","6",151993.342218024,68506.4740116243,83486.8682064,159931.592515912
"2013","1","7",1443.72839411867,1443.72839411867,0,7738.3841926107
"2013","1","8",1740.55123753927,1122.30648734927,618.24475019,3381.30682985921
"2013","1","9",711.479097253973,711.479097253973,0,2247.25442413666
"2013","2","1",401615.237847413,27922.0003565603,373693.237490865,70389.5265644501
"2013","2","10",554591.434336508,47640.9159283761,506950.518409172,130619.478754317
